,support,itemsets
0,0.10284463894967177,frozenset({'6 RIBBONS RUSTIC CHARM'})
1,0.0700218818380744,frozenset({'ALARM CLOCK BAKELIKE PINK'})
2,0.07221006564551423,frozenset({'GUMBALL COAT RACK'})
3,0.09190371991247265,frozenset({'JAM MAKING SET PRINTED'})
4,0.0787746170678337,frozenset({'JUMBO BAG RED RETROSPOT'})
5,0.10065645514223195,frozenset({'JUMBO BAG WOODLAND ANIMALS'})
6,0.0787746170678337,frozenset({'LUNCH BAG WOODLAND'})
7,0.08533916849015317,frozenset({'PACK OF 72 RETROSPOT CAKE CASES'})
8,0.11597374179431072,frozenset({'PLASTERS IN TIN CIRCUS PARADE'})
9,0.10722100656455143,frozenset({'PLASTERS IN TIN SPACEBOY'})
10,0.0700218818380744,frozenset({'PLASTERS IN TIN STRONGMAN'})
11,0.13785557986870897,frozenset({'PLASTERS IN TIN WOODLAND ANIMALS'})
12,0.0700218818380744,frozenset({'RED RETROSPOT CHARLOTTE BAG'})
13,0.0700218818380744,frozenset({'RED RETROSPOT CUP'})
14,0.0962800875273523,frozenset({'RED TOADSTOOL LED NIGHT LIGHT'})
15,0.13785557986870897,frozenset({'REGENCY CAKESTAND 3 TIER'})
16,0.1575492341356674,frozenset({'ROUND SNACK BOXES SET OF 4 FRUITS'})
17,0.24507658643326038,frozenset({'ROUND SNACK BOXES SET OF4 WOODLAND'})
18,0.0700218818380744,frozenset({'SET OF 3 REGENCY CAKE TINS'})
19,0.10284463894967177,frozenset({'SPACEBOY LUNCH BOX'})
20,0.0787746170678337,frozenset({'STRAWBERRY LUNCH BOX WITH CUTLERY'})
21,0.12691466083150985,frozenset({'WOODLAND CHARLOTTE BAG'})
22,0.07439824945295405,"frozenset({'PLASTERS IN TIN WOODLAND ANIMALS', 'ROUND SNACK BOXES SET OF4 WOODLAND'})"
23,0.13129102844638948,"frozenset({'ROUND SNACK BOXES SET OF4 WOODLAND', 'ROUND SNACK BOXES SET OF 4 FRUITS'})"
24,0.0700218818380744,"frozenset({'SPACEBOY LUNCH BOX', 'ROUND SNACK BOXES SET OF4 WOODLAND'})"
